epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,140.271,0.78796,0.3756,0.77463,0.98755,0.9806,0.99366,0.8191,0.64038,0.3389,0.77292,9.6238e-05,9.6238e-05,9.6238e-05
40,144.056,0.77232,0.37862,0.77736,0.98683,0.9794,0.99345,0.81586,0.65506,0.32569,0.77156,9.6139e-05,9.6139e-05,9.6139e-05
41,147.819,0.79678,0.37748,0.77923,0.98917,0.98249,0.99314,0.79618,0.72954,0.34057,0.7736,9.604e-05,9.604e-05,9.604e-05
42,151.666,0.8142,0.38176,0.77614,0.98943,0.98043,0.99326,0.78989,0.69753,0.34099,0.77136,9.5941e-05,9.5941e-05,9.5941e-05
43,155.455,0.81038,0.38129,0.77315,0.98657,0.98314,0.99324,0.78736,0.71129,0.34375,0.77234,9.5842e-05,9.5842e-05,9.5842e-05
44,159.114,0.77396,0.3677,0.77938,0.98791,0.98352,0.99316,0.78208,0.71581,0.34061,0.77305,9.5743e-05,9.5743e-05,9.5743e-05
45,162.78,0.7781,0.37667,0.77521,0.99202,0.97631,0.99282,0.80659,0.64507,0.32717,0.77008,9.5644e-05,9.5644e-05,9.5644e-05
46,166.46,0.74992,0.36922,0.76913,0.98551,0.9804,0.99237,0.82052,0.63528,0.32879,0.76863,9.5545e-05,9.5545e-05,9.5545e-05
47,170.465,0.78445,0.37122,0.77148,0.99166,0.97958,0.99262,0.8208,0.62687,0.32921,0.76819,9.5446e-05,9.5446e-05,9.5446e-05
48,174.341,0.74367,0.3671,0.77217,0.98798,0.98043,0.99336,0.83296,0.60232,0.31428,0.7692,9.5347e-05,9.5347e-05,9.5347e-05
49,178.197,0.74797,0.36133,0.77065,0.98454,0.98375,0.99343,0.83656,0.61226,0.31368,0.76696,9.5248e-05,9.5248e-05,9.5248e-05
50,182.261,0.74294,0.35813,0.77521,0.98896,0.98146,0.99354,0.83602,0.6032,0.30704,0.76801,9.5149e-05,9.5149e-05,9.5149e-05
51,186.118,0.75592,0.35845,0.77152,0.99058,0.97506,0.99305,0.79648,0.67735,0.33218,0.7698,9.505e-05,9.505e-05,9.505e-05
52,190.028,0.78505,0.36991,0.77151,0.99365,0.97219,0.99326,0.82082,0.64284,0.31847,0.76761,9.4951e-05,9.4951e-05,9.4951e-05
53,193.954,0.78682,0.36322,0.77576,0.99312,0.97013,0.9931,0.8114,0.65272,0.32108,0.76976,9.4852e-05,9.4852e-05,9.4852e-05
54,197.745,0.76575,0.36336,0.77268,0.99227,0.97013,0.99329,0.82481,0.62345,0.31786,0.76951,9.4753e-05,9.4753e-05,9.4753e-05
55,201.494,0.76384,0.36512,0.77339,0.99158,0.97044,0.99338,0.82258,0.65023,0.32373,0.77156,9.4654e-05,9.4654e-05,9.4654e-05
56,205.352,0.74288,0.35947,0.77038,0.98552,0.98121,0.99311,0.81723,0.65822,0.32272,0.77085,9.4555e-05,9.4555e-05,9.4555e-05
